prompt,model_answer,is_hallucination,correct_answer,comment
"А вы думали Илон Рив Маск сам всякие штуки придумывает, и за ним никто не стоит? Ага, щас. Просто коты из-за своей природной скромности предпочитают в тени оставаться.","А ты думаешь, что Илон Рив Маск сам все придумывает, и за ним никто не стоит? Ага, щас. Просто кошки из-за своей природной скромности предпочитают оставаться в тени.",0,,
"Качество отличное, увы - сервис , отправка и общение - на нуле. Продавец перестал общаться и отвечать на вопросы после того как 11.11 продал мне эту кофту вместо 807 рублей за 2.600. Спор открывать не буду - прислали в подарок шапочку. Но осадок остался. Товар рекомендую - а так же рекомендую тщательно проверять сумму при покупке. Я потеряла на этой кофте в день распродаж 1.793 рубля. Готова была на эту сумму лучще бы ещё набрать , но продавец на контакт вообще не шёл. Жаль. А качество действительно фабричное и отличное. ","Качество отличное, но сервис и общение на нуле. Продавец перестал отвечать на вопросы после того как 11.11.12 продал мне эту кофту за 2.600 рублей! Спор открывать не буду, но осадок остался. Товар рекомендую - а так же советую тщательно проверять сумму при покупке. На этой кофте я потеряла 1.793 рубля, но продавец на контакт не шёл. Жаль!",0,,
"О зайчатах
Помнится, я о зайцах ничегошеньки не знала. Только что быстрые, пугливые и капусту любят. А теперь у нашего пионерлагеря три зайчонка в воспитанниках. Забавные, утром прыгают, шалят, бегают. А упетаются — завтрак хотят, всюду заглянут, носом проверят.
Они везде за нами ходили. Но как-то мы отвлеклись, и все зайчата в лес ускакали. Нас это так расстроило! Но недолго мы горевали, только вечер на порог, зайчата как один явились. Тут-то мы поняли, что зайцы наши послушны, зря мы в них не верили. Я их очень люблю!","Зайцы-малютки
Что я знала о зайцах? Ничего толком. Быстро скачут. Пугливые. И от капусты не откажутся. А попала в пионерский лагерь — тут пять зайца-малютки живут. Потешные! С утра набегаются, напрыгаются, наиграются — завтракать им давай. Все углы носом проверят.
И к нам зайцы-малютки привязались. Мы и не заметили, как они удрали в лес. Мы в слёзы! И напрасно: только мы спать собрались, а зайцы домой прискакали, все до единого! Надо же: совсем дисциплинированные стали! Положиться можно. Я к ним тоже очень привыкла!",1,,synthetic_fact_mutation
Глава Верховного суда РФ В.Лебедев госпитализирован в Гане после ДТП.,Глава Верховного суда РФ В.Лебедев госпитализирован в Гапосле ДТП.,1,,synthetic_fact_mutation
Минобразования сократит количество специальностей в вузах в 5 раз.,Число специальностей в вузах сократят в десять раз.,1,,synthetic_fact_mutation
"Глава ""Юных орлят флота"" отправится в тюрьму на 18 лет за педофилию.",Лидеру «Юных орлят флота» дали 18 месяцев за педофилию.,1,,synthetic_fact_mutation
"Террорист, готовивший теракты в Москве, приговорен к 17 годам",Подозреваемый в подготовке теракта в Москве получил 17 месяцев заключения,1,,synthetic_fact_mutation
"Хакеры похитили данные 2,9 млн пользователей Adobe.","Хакеры украли у Adobe данные 2,9 миллиона пользователей.",0,,
"Страна не только включилась в борьбу за гегемонию в Европе, но и взяла курс на мировую экспансию. Так как Германия «опоздала» к колониальному разделу мира, её капитал был лишён доступа на заморские рынки сбыта, монополизированные старыми колониальными державами. Чтобы обосновать необходимость нового передела мира в пользу Германии и германского капитала, были введены в оборот утверждения о нехватке жизненного пространства и грядущем дефиците продовольствия для растущего населения Германии.","Страна только вошла в борьбу за гегемонию в Европе, но и взяла курс на мировую экспансию. Поскольку Германия потеряла возможность колониализировать мир, ее капитал был лишен доступа к заморским рынкам торговли, монополизированным старыми колониальными державами. Для обоснования необходимости нового передела мира на пользу Германии и немецкому капиталу в обращении были внесены утверждения о недостаточности жизненного пространства и предстоящем дефиците продовольствия для растущего населения Германии.",1,,synthetic_fact_mutation
"Если человеку ввести небольшое количество крови другой группы, то он умрёт?","Умрёт ли человек, если ему ввести немного крови не его группы?",0,,
